Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,brickscapeslandscaping.com,maccollandstokeslandscaping.co.uk,brickscapeslandscaping.com (pages),maccollandstokeslandscaping.co.uk (pages),Results
landscaping,Informational,12100,66,2.24,0.32,0,48,,https://www.maccollandstokeslandscaping.co.uk/,664000000
small garden ideas,Informational,9900,36,0.44,1.00,0,20,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,202
outdoor kitchen ideas,Informational,5400,24,0.58,1.00,0,6,,https://www.maccollandstokeslandscaping.co.uk/post/outdoor-kitchen-ideas-for-uk-gardens,197
landscapes,Transactional,4400,50,1.83,0.08,0,49,,https://www.maccollandstokeslandscaping.co.uk/,147
garden bars,Informational,3600,26,0.58,1.00,0,7,,https://www.maccollandstokeslandscaping.co.uk/post/garden-bar-ideas-designs-that-work,197
patios,Informational,2900,31,1.62,1.00,0,24,,https://www.maccollandstokeslandscaping.co.uk/paving-patios,203
small garden design,Informational,2900,21,0.60,1.00,0,9,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,190
driveway suggestions,Informational,1900,18,1.13,1.00,0,3,,https://www.maccollandstokeslandscaping.co.uk/post/what-the-best-driveway-ideas-have-in-common,202
garden bar ideas,Informational,1900,18,0.64,1.00,0,4,,https://www.maccollandstokeslandscaping.co.uk/post/garden-bar-ideas-designs-that-work,191
small garden designs,Informational,1600,31,0.60,1.00,0,14,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,198
front garden ideas uk,Informational,1300,23,0.56,0.66,0,5,,https://www.maccollandstokeslandscaping.co.uk/post/front-garden-ideas,194
garden fire features,"Informational, Transactional",1300,17,0.30,1.00,0,7,,https://www.maccollandstokeslandscaping.co.uk/post/fire-pit-ideas-for-your-garden,207
garden privacy ideas,Informational,1300,16,0.25,1.00,0,4,,https://www.maccollandstokeslandscaping.co.uk/post/garden-privacy-ideas-for-overlooked-properties,203
how to level a garden,Informational,1300,16,0.60,0.56,0,14,,https://www.maccollandstokeslandscaping.co.uk/post/how-to-level-a-sloped-garden,108
ideas for screening in garden,Informational,1300,22,0.21,1.00,0,12,,https://www.maccollandstokeslandscaping.co.uk/post/garden-privacy-ideas-for-overlooked-properties,200
little gardens ideas,Informational,1300,32,0.44,1.00,0,17,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,203
resin driveway price,Informational,1300,9,1.63,0.76,0,4,,https://www.maccollandstokeslandscaping.co.uk/post/resin-driveway-cost-uk-2026-real-prices-from-a-scottish-installer,184
sloped garden ideas,Informational,1300,14,0.46,0.38,0,11,,https://www.maccollandstokeslandscaping.co.uk/post/sloped-garden-design-ideas-that-actually-work,196
small garden ideas uk,Informational,1300,40,0.59,1.00,0,24,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,195
designing small gardens ideas,Informational,1000,40,0.47,1.00,0,7,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,203
driveway ideas uk,Informational,1000,20,0.93,1.00,0,5,,https://www.maccollandstokeslandscaping.co.uk/post/what-the-best-driveway-ideas-have-in-common,202
garden kitchen ideas,Informational,1000,24,0.59,1.00,0,3,,https://www.maccollandstokeslandscaping.co.uk/post/outdoor-kitchen-ideas-for-uk-gardens,189
garden walls,Informational,1000,28,0.80,1.00,0,9,,https://www.maccollandstokeslandscaping.co.uk/post/the-garden-wall-ideas-that-still-look-right-in-twenty-years,192
ideas for a small garden design,Informational,1000,34,0.47,1.00,0,10,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,191
ideas for small gardens,Informational,1000,29,0.48,1.00,0,10,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,192
ideas for the front garden,Informational,1000,27,0.51,1.00,0,5,,https://www.maccollandstokeslandscaping.co.uk/post/front-garden-ideas,201
resin driveways cost,Informational,1000,28,1.56,0.78,0,4,,https://www.maccollandstokeslandscaping.co.uk/post/resin-driveway-cost-uk-2026-real-prices-from-a-scottish-installer,182
screening ideas garden,Informational,1000,27,0.21,1.00,0,37,,https://www.maccollandstokeslandscaping.co.uk/post/garden-privacy-ideas-for-overlooked-properties,202
small contemporary garden ideas,Informational,1000,17,0.61,1.00,0,45,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,195
small modern garden ideas,Informational,1000,23,0.66,1.00,0,34,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,198
