Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,brickscapeslandscaping.com,neilwalkerlandscaping.co.uk,brickscapeslandscaping.com (pages),neilwalkerlandscaping.co.uk (pages),Results
fencing glasgow,Commercial,390,16,1.52,0.88,0,20,,https://www.neilwalkerlandscaping.co.uk/landscaping/fencing/,111
landscaping glasgow,Commercial,390,45,2.01,0.59,0,19,,https://www.neilwalkerlandscaping.co.uk/,110
landscape gardeners glasgow,Commercial,320,28,1.57,0.56,0,63,,https://www.neilwalkerlandscaping.co.uk/,109
landscapers glasgow,Commercial,260,32,2.01,0.59,0,29,,https://www.neilwalkerlandscaping.co.uk/,110
garden design glasgow,Commercial,210,49,1.12,0.46,0,45,,https://www.neilwalkerlandscaping.co.uk/garden-design-planning/,115
garden fencing glasgow,Commercial,210,8,1.35,0.44,0,18,,https://www.neilwalkerlandscaping.co.uk/landscaping/fencing/,165
glasgow fencing,Commercial,170,16,1.52,0.88,0,37,,https://www.neilwalkerlandscaping.co.uk/landscaping/fencing/,111
glasgow garden landscapers,Commercial,170,46,1.57,0.56,0,20,,https://www.neilwalkerlandscaping.co.uk/,108
glasgow landscape,Commercial,170,47,1.89,0.63,0,15,,https://www.neilwalkerlandscaping.co.uk/,116
landscaper glasgow,Commercial,140,47,1.89,0.63,0,23,,https://www.neilwalkerlandscaping.co.uk/,113
garden landscaping glasgow,Commercial,110,47,1.57,0.56,0,23,,https://www.neilwalkerlandscaping.co.uk/,113
lee walker fencing,"Informational, Transactional",110,18,0.00,0.02,0,28,,https://www.neilwalkerlandscaping.co.uk/landscaping/fencing/,105
gardening companies glasgow,Commercial,90,34,1.30,0.55,0,30,,https://www.neilwalkerlandscaping.co.uk/,109
glass balustrade glasgow,Commercial,90,3,2.20,0.92,0,23,,https://www.neilwalkerlandscaping.co.uk/landscaping/decking-balustrades/,174
tree surgeon cumbernauld,Transactional,90,-1,4.00,0.54,0,38,,https://www.neilwalkerlandscaping.co.uk/landscaping/tree-surgery/,109
