Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
large garden ideas,1,1,590,31,0.51,https://www.maccollandstokeslandscaping.co.uk/post/large-garden-design-ideas-for-scottish-homes,77,19.74,39.00,1,203,"30, 24, 24, 16, 13, 8, 8, 16, 20, 30, 34, 24",2026-08-10,"Image pack, Video, Image, People also ask, Popular products, Related searches",informational,Organic
large garden design ideas,1,1,390,27,0.60,https://www.maccollandstokeslandscaping.co.uk/post/large-garden-design-ideas-for-scottish-homes,51,13.07,30.00,0.68,198,"36, 30, 30, 36, 30, 16, 24, 20, 24, 30, 24, 30",2026-07-12,"Image pack, Video, Image, Video Carousel, People also ask, Popular products, Related searches",informational,Organic
large garden design,1,1,260,18,0.77,https://www.maccollandstokeslandscaping.co.uk/post/large-garden-design-ideas-for-scottish-homes,34,8.71,26.00,0.68,83,"66, 44, 44, 44, 44, 36, 29, 19, 36, 36, 23, 36",2026-07-23,"Image pack, Image, People also ask, Related searches",informational,Organic
large garden ideas and designs,2,2,260,28,0.60,https://www.maccollandstokeslandscaping.co.uk/post/large-garden-design-ideas-for-scottish-homes,34,8.71,20.00,0.97,211,"66, 82, 82, 43, 43, 28, 28, 66, 66, 100, 66, 66",2026-08-12,"Reviews, Video, Video Carousel, People also ask, Popular products, Related searches",informational,Organic
big garden ideas,3,3,480,31,0.52,https://www.maccollandstokeslandscaping.co.uk/post/large-garden-design-ideas-for-scottish-homes,31,7.94,16.00,1,197,"36, 45, 45, 36, 30, 24, 20, 20, 30, 45, 67, 67",2026-07-28,"Image pack, Video, Image, Video Carousel, People also ask, Popular products, Related searches",informational,Organic
garden design for large gardens,1,1,210,24,0.98,https://www.maccollandstokeslandscaping.co.uk/post/large-garden-design-ideas-for-scottish-homes,27,6.92,26.00,1,207,"17, 82, 66, 53, 66, 35, 28, 66, 53, 100, 53, 43",2026-08-11,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
garden design large,1,1,140,31,0.77,https://www.maccollandstokeslandscaping.co.uk/post/large-garden-design-ideas-for-scottish-homes,18,4.61,13.00,0.68,198,"80, 100, 42, 26, 42, 34, 19, 26, 34, 53, 53, 80",2026-06-28,"Local pack, Image pack, Video, Image, Ads bottom, Video Carousel, Related searches",informational,Organic
ideas for large gardens,2,2,210,24,0.51,https://www.maccollandstokeslandscaping.co.uk/post/large-garden-design-ideas-for-scottish-homes,17,4.35,8.00,1,201,"5, 39, 11, 9, 11, 9, 11, 14, 17, 39, 26, 72",2026-08-12,"Image pack, Reviews, Video, Image, People also ask, Related searches, AI overview",informational,Organic
ideas for large gardens,1,1,210,24,0.51,https://www.maccollandstokeslandscaping.co.uk/post/large-garden-design-ideas-for-scottish-homes,12,3.07,6.00,1,201,"5, 39, 11, 9, 11, 9, 11, 14, 17, 39, 26, 72",2026-08-12,"Image pack, Reviews, Video, Image, People also ask, Related searches, AI overview",informational,AI overview
large garden design ideas uk,1,1,90,22,0.68,https://www.maccollandstokeslandscaping.co.uk/post/large-garden-design-ideas-for-scottish-homes,11,2.82,7.00,0.46,190,"64, 64, 23, 64, 41, 41, 41, 41, 29, 41, 82, 100",2026-07-21,"Image pack, Video, Image, Related searches",informational,Organic
big garden ideas uk,2,2,90,23,0.74,https://www.maccollandstokeslandscaping.co.uk/post/large-garden-design-ideas-for-scottish-homes,11,2.82,8.00,0.99,194,"52, 52, 64, 64, 41, 41, 41, 41, 41, 52, 64, 100",2026-07-20,"Image pack, Video, Image, Video Carousel, Related searches, Short videos",informational,Organic
garden design ideas for large gardens,1,1,140,23,0.60,https://www.maccollandstokeslandscaping.co.uk/post/large-garden-design-ideas-for-scottish-homes,11,2.82,6.00,0.97,206,"53, 35, 35, 35, 28, 23, 17, 35, 35, 53, 35, 35",2026-08-07,"Image pack, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
garden ideas for large gardens,3,3,260,28,0.51,https://www.maccollandstokeslandscaping.co.uk/post/large-garden-design-ideas-for-scottish-homes,9,2.3,4.00,1,204,"3, 3, 44, 66, 54, 15, 3, 28, 66, 100, 66, 66",2026-08-04,"Image pack, Video, Image, Video Carousel, People also ask, Popular products, Related searches",informational,Organic
ideas for a large garden,1,1,140,25,0.54,https://www.maccollandstokeslandscaping.co.uk/post/large-garden-design-ideas-for-scottish-homes,8,2.05,4.00,0.88,192,"17, 11, 39, 32, 4, 14, 17, 11, 1, 14, 3, 3",2026-07-05,"Video, Image, People also ask, Popular products, Related searches, Short videos, AI overview",informational,AI overview
large garden ideas uk,3,3,110,22,0.74,https://www.maccollandstokeslandscaping.co.uk/post/large-garden-design-ideas-for-scottish-homes,7,1.79,5.00,0.99,186,"15, 19, 15, 15, 15, 7, 7, 7, 7, 15, 15, 23",2026-07-08,"Image pack, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
large garden,5,5,260,21,0.00,https://www.maccollandstokeslandscaping.co.uk/post/large-garden-design-ideas-for-scottish-homes,6,1.53,0.00,0.34,185,"66, 66, 44, 54, 44, 35, 35, 35, 23, 35, 35, 44",2026-06-26,"Video, Image, People also ask, Popular products, Related searches, AI overview",informational,Organic
ideas for a big garden,4,4,210,21,0.54,https://www.maccollandstokeslandscaping.co.uk/post/large-garden-design-ideas-for-scottish-homes,6,1.53,3.00,0.88,191,"100, 24, 8, 6, 20, 3, 3, 10, 0, 24, 0, 0",2026-07-01,"Image pack, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
garden ideas for big gardens,4,4,140,25,0.54,https://www.maccollandstokeslandscaping.co.uk/post/large-garden-design-ideas-for-scottish-homes,6,1.53,3.00,0.88,194,"2, 67, 0, 5, 2, 10, 10, 13, 0, 8, 0, 1",2026-07-01,"Image pack, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
large garden designs,4,4,110,28,0.77,https://www.maccollandstokeslandscaping.co.uk/post/large-garden-design-ideas-for-scottish-homes,4,1.02,3.00,0.68,196,"26, 34, 19, 53, 65, 34, 26, 34, 42, 53, 80, 100",2026-06-24,"Image pack, Video, Image, Video Carousel, People also ask, Popular products, Related searches",informational,Organic
ideas for a large garden,5,5,140,25,0.54,https://www.maccollandstokeslandscaping.co.uk/post/large-garden-design-ideas-for-scottish-homes,3,0.76,1.00,0.88,192,"17, 11, 39, 32, 4, 14, 17, 11, 1, 14, 3, 3",2026-07-05,"Video, Image, People also ask, Popular products, Related searches, Short videos, AI overview",informational,Organic
garden ideas scotland,4,4,90,,0.70,https://www.maccollandstokeslandscaping.co.uk/post/large-garden-design-ideas-for-scottish-homes,3,0.76,2.00,0.98,134,"22, 14, 18, 14, 14, 10, 8, 6, 6, 14, 22, 43",2026-07-20,"Reviews, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
