Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,brickscapeslandscaping.com,glasgow-landscaping.com,brickscapeslandscaping.com (pages),glasgow-landscaping.com (pages),Results
landscaping glasgow,Commercial,390,45,2.01,0.59,0,20,,https://glasgow-landscaping.com/,110
landscape gardeners glasgow,Commercial,320,28,1.57,0.56,0,10,,https://glasgow-landscaping.com/landscapers-glasgow-southside/,109
gardening glasgow,Commercial,260,16,1.44,0.42,0,42,,https://glasgow-landscaping.com/,111
landscapers glasgow,Commercial,260,32,2.01,0.59,0,6,,https://glasgow-landscaping.com/landscapers-glasgow-southside/,110
modern garden ideas uk,Informational,260,22,0.66,1.00,0,59,,https://glasgow-landscaping.com/landscape-garden/,197
contemporary garden ideas uk,Informational,210,13,0.66,1.00,0,68,,https://glasgow-landscaping.com/landscape-garden/,198
garden design glasgow,Commercial,210,49,1.12,0.46,0,18,,https://glasgow-landscaping.com/garden-design-ideas/,115
gardeners glasgow,Commercial,210,19,1.32,0.57,0,35,,https://glasgow-landscaping.com/,107
glesga garden guy,"Informational, Transactional",210,32,1.23,0.03,0,33,,https://glasgow-landscaping.com/landscapers-glasgow-southside/,108
gardening outdoor ideas,Informational,170,42,0.71,1.00,0,24,,https://glasgow-landscaping.com/landscaping-ideas/,206
glasgow garden landscapers,Commercial,170,46,1.57,0.56,0,29,,https://glasgow-landscaping.com/landscapers-glasgow-southside/,108
glasgow landscape,Commercial,170,47,1.89,0.63,0,17,,https://glasgow-landscaping.com/landscapers-glasgow-southside/,116
creative landscaping,Commercial,140,22,1.66,0.08,0,16,,https://glasgow-landscaping.com/landscaping-ideas/,146
garden design modern,Informational,140,22,0.95,1.00,0,50,,https://glasgow-landscaping.com/landscape-garden/,192
landscaper glasgow,Commercial,140,47,1.89,0.63,0,18,,https://glasgow-landscaping.com/,113
modern garden plants,Informational,140,11,0.57,1.00,0,81,,https://glasgow-landscaping.com/landscape-garden/,168
contemporary gardens uk,Commercial,110,8,0.70,0.94,0,70,,https://glasgow-landscaping.com/landscape-garden/,193
garden landscaping glasgow,Commercial,110,47,1.57,0.56,0,19,,https://glasgow-landscaping.com/,113
glasgow garden maintenance,Navigational,110,20,1.38,0.43,0,37,,https://glasgow-landscaping.com/,108
landscaping design ideas,Informational,110,47,0.74,0.65,0,31,,https://glasgow-landscaping.com/landscaping-ideas/,202
landscaping gardens ideas,Informational,110,47,0.69,1.00,0,29,,https://glasgow-landscaping.com/landscaping-ideas/,206
outside garden ideas,Informational,110,51,0.00,1.00,0,21,,https://glasgow-landscaping.com/landscaping-ideas/,197
gardening companies glasgow,Commercial,90,34,1.30,0.55,0,53,,https://glasgow-landscaping.com/best-landscapers-glasgow/,109
landscape gardeners glasgow west end,Commercial,90,7,1.24,0.57,0,2,,https://glasgow-landscaping.com/garden-design-glasgow-west-end-5/,109
landscapers scotland,Commercial,90,34,1.55,0.12,0,42,,https://glasgow-landscaping.com/,121
landscaping wigan,Commercial,90,9,2.13,0.70,0,70,,https://glasgow-landscaping.com/,109
modern landscaping,Informational,90,35,1.05,0.43,0,31,,https://glasgow-landscaping.com/landscape-garden/,186
