Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,brickscapeslandscaping.com,andersonlandscaping.co.uk,brickscapeslandscaping.com (pages),andersonlandscaping.co.uk (pages),Results
landscaping,Informational,12100,66,2.24,0.32,0,15,,https://andersonlandscaping.co.uk/,664000000
landscaping near me,Transactional,2900,26,2.56,0.69,0,20,,https://andersonlandscaping.co.uk/,1460000000
anderson's,Commercial,590,35,0.47,0.19,0,39,,https://andersonlandscaping.co.uk/,187
landscape maintenance,Informational,480,20,2.69,0.18,0,28,,https://andersonlandscaping.co.uk/grounds-maintenance/,262000000
landscaping glasgow,Commercial,390,45,2.01,0.59,0,4,,https://andersonlandscaping.co.uk/,110
anderson green,Navigational,320,28,1.69,0.02,0,14,,https://andersonlandscaping.co.uk/,106
land scaping,Commercial,320,60,1.69,0.10,0,4,,https://andersonlandscaping.co.uk/,374000000
landscape gardeners glasgow,Commercial,320,28,1.57,0.56,0,20,,https://andersonlandscaping.co.uk/,109
scotland landscaping,Commercial,320,19,0.00,0.01,0,23,,https://andersonlandscaping.co.uk/,127
gardener glasgow,Navigational,260,22,1.32,0.57,0,36,,https://andersonlandscaping.co.uk/,107
gardening glasgow,Commercial,260,16,1.44,0.42,0,20,,https://andersonlandscaping.co.uk/,111
landscapers glasgow,Commercial,260,32,2.01,0.59,0,14,,https://andersonlandscaping.co.uk/,110
anderson landscaping,Navigational,210,34,0.91,0.04,0,1,,https://andersonlandscaping.co.uk/,105
dundee paving,Commercial,170,11,0.60,1.00,0,50,,https://andersonlandscaping.co.uk/paving-and-driveways/,168
garden maintenance glasgow,Commercial,170,30,1.38,0.43,0,28,,https://andersonlandscaping.co.uk/,57
glasgow garden landscapers,Commercial,170,46,1.57,0.56,0,13,,https://andersonlandscaping.co.uk/,108
glasgow landscape,Commercial,170,47,1.89,0.63,0,1,,https://andersonlandscaping.co.uk/,116
residential landscaping,Informational,170,37,0.00,0.07,0,17,,https://andersonlandscaping.co.uk/,140000000
landscaper glasgow,Commercial,140,47,1.89,0.63,0,4,,https://andersonlandscaping.co.uk/,113
landscaping and maintenance,Informational,140,16,2.93,0.24,0,17,,https://andersonlandscaping.co.uk/grounds-maintenance/,127000000
anderson gardens,Commercial,110,27,0.00,0.02,0,8,,https://andersonlandscaping.co.uk/,134
decking on finance,Informational,110,6,1.85,0.89,0,32,,https://andersonlandscaping.co.uk/ideal-4-finance/,107
garden landscaping glasgow,Commercial,110,47,1.57,0.56,0,13,,https://andersonlandscaping.co.uk/,113
glasgow garden maintenance,Navigational,110,20,1.38,0.43,0,28,,https://andersonlandscaping.co.uk/,108
albar landscapes barrhead,Navigational,90,16,1.57,0.05,0,28,,https://andersonlandscaping.co.uk/contact/,0
devonshire landscaping,Navigational,90,24,1.61,0.12,0,21,,https://andersonlandscaping.co.uk/,0
garden services glasgow,Commercial,90,28,1.30,0.55,0,28,,https://andersonlandscaping.co.uk/,58
gardening companies glasgow,Commercial,90,34,1.30,0.55,0,15,,https://andersonlandscaping.co.uk/,109
gestralt,Informational,90,48,2.16,0.33,0,82,,https://andersonlandscaping.co.uk/mar-hall-project/,131
landscape gardeners glasgow west end,Commercial,90,7,1.24,0.57,0,28,,https://andersonlandscaping.co.uk/,109
landscapeing,Transactional,90,53,1.69,0.10,0,28,,https://andersonlandscaping.co.uk/,389000000
landscapers scotland,Commercial,90,34,1.55,0.12,0,20,,https://andersonlandscaping.co.uk/,121
landscaping east kilbride,Commercial,90,4,1.95,0.66,0,45,,https://andersonlandscaping.co.uk/,108
landscaping motherwell,Commercial,90,9,1.48,0.59,0,46,,https://andersonlandscaping.co.uk/,110
landscaping scotland,Commercial,90,29,1.79,0.16,0,20,,https://andersonlandscaping.co.uk/,52
landscapping,Informational,90,46,1.69,0.10,0,39,,https://andersonlandscaping.co.uk/,408000000
