Source,URL,Traffic,Traffic Diff.,Traffic %,Keywords,LLM Prompts,Ref. Domains,Top Keyword,Intent
,www.maccollandstokeslandscaping.co.uk/post/large-garden-design-ideas-for-scottish-homesGenerate SEO Brief,390,+108↑,19.82,28,5,4,large garden ideas,I
+2,www.maccollandstokeslandscaping.co.uk/post/garden-bar-ideas-designs-that-workGenerate SEO Brief,287,+116↑,14.59,40,6,0,garden bars,I
,www.maccollandstokeslandscaping.co.uk/post/front-garden-ideasGenerate SEO Brief,208,-78↓,10.57,27,5,3,front garden ideas uk,I
+3,www.maccollandstokeslandscaping.co.uk/post/what-the-best-driveway-ideas-have-in-commonGenerate SEO Brief,186,+158↑,9.45,37,14,1,driveway suggestions,I
,www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideasGenerate SEO Brief,152,+11↑,7.72,101,2,1,garden ideas small gardens,I
,www.maccollandstokeslandscaping.co.uk/post/resin-driveway-cost-uk-2026-real-prices-from-a-scottish-installerGenerate SEO Brief,132,+101↑,6.71,27,8,1,resin driveway price,I
,www.maccollandstokeslandscaping.co.uk/post/outdoor-kitchen-ideas-for-uk-gardensGenerate SEO Brief,125,+105↑,6.35,10,1,1,outdoor kitchen ideas,I
+2,www.maccollandstokeslandscaping.co.uk/post/outdoor-living-space-ideasGenerate SEO Brief,120,+22↑,6.10,29,6,9,spaces outdoor living,I
+2,www.maccollandstokeslandscaping.co.uk/post/garden-privacy-ideas-for-overlooked-propertiesGenerate SEO Brief,96,-45↓,4.88,36,15,0,garden privacy ideas,I
,www.maccollandstokeslandscaping.co.uk/Generate SEO Brief,81,-4↓,4.11,54,1,176,landscaping glasgow,C
,www.maccollandstokeslandscaping.co.uk/post/fire-pit-ideas-for-your-gardenGenerate SEO Brief,48,+13↑,2.44,9,3,2,garden ideas fire pit,I
,www.maccollandstokeslandscaping.co.uk/post/sloped-garden-design-ideas-that-actually-workGenerate SEO Brief,35,+27↑,1.77,37,12,0,ideas for sloped gardens,I
,www.maccollandstokeslandscaping.co.uk/post/garden-room-planning-permission-what-you-need-to-know-before-you-buildGenerate SEO Brief,27,0,1.37,4,3,0,garden rooms glasgow,C
+2,www.maccollandstokeslandscaping.co.uk/post/how-to-fix-a-waterlogged-gardenGenerate SEO Brief,27,+8↑,1.37,18,7,0,boggy garden,I
,www.maccollandstokeslandscaping.co.uk/drivewaysGenerate SEO Brief,16,+2↑,0.81,8,0,10,driveways glasgow,C
,maccollandstokeslandscaping.co.uk/Generate SEO Brief,7,0,0.35,1,0,5,landscape site,I
,www.maccollandstokeslandscaping.co.uk/paving-patiosGenerate SEO Brief,7,-5↓,0.35,4,0,8,patios glasgow,C
,www.maccollandstokeslandscaping.co.uk/post/low-maintenance-garden-ideasGenerate SEO Brief,6,+2↑,0.30,12,3,2,easy maintenance garden,I
,www.maccollandstokeslandscaping.co.uk/post/how-to-level-a-sloped-gardenGenerate SEO Brief,5,-18↓,0.25,24,9,1,how to level a garden slope,I
,www.maccollandstokeslandscaping.co.uk/plant-hireGenerate SEO Brief,5,0,0.25,4,0,0,plant hire glasgow,C
,www.maccollandstokeslandscaping.co.uk/post/the-garden-wall-ideas-that-still-look-right-in-twenty-yearsGenerate SEO Brief,4,0,0.20,3,2,0,garden walls,I
,www.maccollandstokeslandscaping.co.uk/garden-roomsGenerate SEO Brief,2,0,0.10,4,1,2,garden rooms glasgow,C
,www.maccollandstokeslandscaping.co.uk/outdoor-kitchensGenerate SEO Briefnew,1,+1↑,0.05,3,0,2,bespoke outdoor kitchens,I
,www.maccollandstokeslandscaping.co.uk/post/pergola-design-ideas-maccoll-stokesGenerate SEO Brief,0,0,< 0.01,2,5,1,pergola in garden design,I
,www.maccollandstokeslandscaping.co.uk/composite-timber-deckingGenerate SEO Brief,0,0,< 0.01,2,0,0,composite decking glasgow,C
,www.maccollandstokeslandscaping.co.uk/fire-pitsGenerate SEO Brief,0,0,< 0.01,1,2,0,fire pit glasgow,T
,www.maccollandstokeslandscaping.co.uk/water-featuresGenerate SEO Brief,0,0,< 0.01,2,0,0,n/a,n/a
,www.maccollandstokeslandscaping.co.uk/outdoor-livingGenerate SEO Brief,0,0,< 0.01,0,0,20,n/a,n/a
,www.maccollandstokeslandscaping.co.uk/plantingGenerate SEO Brief,0,0,< 0.01,2,0,7,n/a,n/a
,www.maccollandstokeslandscaping.co.uk/artilawn-artificial-grassGenerate SEO Brief,0,0,< 0.01,2,0,0,artificial lawn glasgow,C
,www.maccollandstokeslandscaping.co.uk/pergolasGenerate SEO Brief,0,0,< 0.01,8,1,1,made to measure pergola near me,T
,www.maccollandstokeslandscaping.co.uk/post/how-much-does-a-patio-costGenerate SEO Brief,0,0,< 0.01,7,0,0,patio costs per m2,I
,www.maccollandstokeslandscaping.co.uk/garden-designGenerate SEO Brief,0,0,< 0.01,3,0,10,bespoke outdoor spaces,N
,www.maccollandstokeslandscaping.co.uk/aboutGenerate SEO Brief,0,0,< 0.01,0,0,0,n/a,n/a
