"Keyword",Intent,Relevance,Volume,KD %,CPC (USD),SF,Updated
landscaping glasgow,,100,390,45,2.46,"Image, People also ask, Local pack, Discussions and forums, Find results on, Related searches",1 month
landscapers glasgow,,80,210,40,2.46,"Image, Video, People also ask, Local pack, Find results on, Related searches",1 month
glasgow landscape,,79,170,46,2.01,"Image pack, Video, People also ask, Local pack, Related searches",1 month
landscape gardeners glasgow,,79,320,28,1.57,"Reviews, Video, People also ask, Local pack",1 month
gardening companies glasgow,,72,110,35,1.59,"Video, People also ask, Local pack, Find results on, Related searches",1 month
garden design glasgow,,71,170,48,1.9,"Video, People also ask, Local pack, Related searches",1 month
garden services glasgow,Commercial,63,110,28,1.59,"Video, People also ask, Local pack, Related searches",1 month
gardeners glasgow,Commercial,62,140,14,1.44,"Video, People also ask, Local pack, Related searches",1 month
glasgow gardening services,Commercial,59,90,10,1.59,"Video, People also ask, Related searches",1 month
scotland landscaping,Commercial,57,210,6,0,"Image, Image pack, Video, People also ask, Local pack, Find results on, Related searches",1 month
garden maintenance glasgow,Commercial,56,170,30,1.38,"Reviews, People also ask, Local pack, Related searches",1 month
patios glasgow,Commercial,56,170,7,2.5,"Image, Image pack, Video, People also ask, Local pack, Related searches",1 month
glasgow garden maintenance,Commercial,55,110,27,1.99,"Sitelinks, Video, People also ask, Local pack, Related searches",1 month
landscaping falkirk,Commercial,53,140,9,2.02,"Image, Video, People also ask, Local pack, Related searches",1 month
driveway paving glasgow,Commercial,52,110,28,2.66,"Reviews, Image, Video, People also ask, Local pack, Related searches",1 month
gardener glasgow,Navigational,52,260,30,1.44,"Sitelinks, Reviews, Image, People also ask, Local pack, Related searches, Ads middle",1 month
decking glasgow,Commercial,51,170,10,1.36,"People also ask, Local pack, Find results on, Related searches",1 month
driveways glasgow,Commercial,51,480,16,2.17,"Image, People also ask, Local pack, Related searches",1 month
garden fencing glasgow,Commercial,51,170,8,0,"Video, People also ask, Local pack, Related searches",1 month
driveway glasgow,Commercial,50,170,13,2.45,"Reviews, Image, Video, People also ask, Local pack, Related searches",1 month
gardeners falkirk,,50,70,,0.95,,
