Category,Keyword,Volume,KD%,CPC (USD),Intent,Priority,Notes
BRICKLAYING,"bricklayers glasgow",140,n/a,0.97,Commercial,HIGH,seo2.csv - core service
BRICKLAYING,"bricklayers wanted glasgow",10,n/a,0,Transactional,LOW,job listing intent
BRICKLAYING,"bricklayers required glasgow",10,n/a,0,Mixed,LOW,job listing intent
BRICKLAYING,"bricklaying cost Glasgow",n/a,n/a,n/a,Informational,RESEARCH,"No SEMrush data - use Google KP"
BRICKLAYING,"bricklaying services glasgow",n/a,n/a,n/a,Commercial,RESEARCH,"No SEMrush data - use Google KP"
BRICKLAYING,"bricklayer glasgow",n/a,n/a,n/a,Commercial,RESEARCH,"No SEMrush data - try Ahrefs"
BUILDERS GLASGOW,"builders glasgow",720,21,2.77,Commercial,HIGH,seo1.csv - high volume
BUILDERS GLASGOW,"builders in glasgow",320,20,2.77,Commercial,HIGH,seo1.csv
BUILDERS GLASGOW,"builder glasgow",260,21,2.80,Commercial,HIGH,seo1.csv
BUILDERS GLASGOW,"glasgow builders",170,16,2.77,Commercial,HIGH,seo1.csv - low KD
BUILDERS GLASGOW,"building contractors in glasgow",260,11,2.77,Commercial,HIGH,seo1.csv - very low KD
BUILDERS GLASGOW,"glasgow building companies",210,11,2.77,Commercial,HIGH,seo1.csv - very low KD
BUILDERS GLASGOW,"building companies in glasgow",170,14,2.80,Commercial,MEDIUM,seo1.csv
BUILDERS GLASGOW,"construction companies in glasgow scotland",320,25,2.09,Commercial,MEDIUM,seo1.csv
BUILDERS GLASGOW,"construction firms glasgow",170,26,2.47,Commercial,MEDIUM,seo1.csv
BUILDERS GLASGOW,"glasgow building contractors",n/a,n/a,n/a,Commercial,RESEARCH,screenshot visible
GROUNDWORKS,"groundworks glasgow",110,12,2.61,Commercial,HIGH,seo1.csv - low KD
DRIVEWAYS,"driveways glasgow",480,16,2.17,Commercial,HIGH,seo1.csv - high volume
DRIVEWAYS,"driveway glasgow",170,13,2.45,Commercial,HIGH,seo1.csv
DRIVEWAYS,"resin driveways glasgow",390,7,1.34,Commercial,HIGH,seo1.csv - very low KD!
DRIVEWAYS,"resin driveway glasgow",170,12,1.26,Commercial,HIGH,seo1.csv - very low KD!
DRIVEWAYS,"monoblock driveway glasgow",210,5,2.74,Commercial,HIGH,seo1.csv - KD only 5!
DRIVEWAYS,"driveway paving glasgow",110,28,2.66,Commercial,MEDIUM,seo1.csv
DRIVEWAYS,"paving glasgow",110,13,0.48,Commercial,HIGH,seo1.csv
PATIOS,"patios glasgow",170,7,2.50,Commercial,HIGH,seo1.csv - very low KD!
LANDSCAPING,"landscaping glasgow",390,45,2.46,Commercial,MEDIUM,seo1.csv - higher KD
LANDSCAPING,"landscape gardeners glasgow",320,28,1.57,Commercial,MEDIUM,seo1.csv
LANDSCAPING,"landscapers glasgow",210,40,2.46,Commercial,MEDIUM,seo1.csv
LANDSCAPING,"landscape gardeners near me",14800,36,2.62,Transactional,HIGH,"national - high volume"
LANDSCAPING,"garden landscaping near me",1600,26,2.62,Transactional,HIGH,seo1.csv
